日本語,英語,キー
アクセシビリティ設定…,Accessibility Settings...,accessibility.onboarding.accessibility.button
Enterを押すと音声読み上げが有効になります,Press enter to enable the narrator,accessibility.onboarding.screen.narrator
Minecraftへようこそ！\n\nここでは、音声読み上げの有効・無効の設定と、アクセシビリティ設定画面への移動ができます。,Welcome to Minecraft!\n\nWould you like to enable the Narrator or visit the Accessibility Settings?,accessibility.onboarding.screen.title
完了,Done,addServer.add
サーバーアドレス,Server Address,addServer.enterIp
サーバー名,Server Name,addServer.enterName
アドレスを非表示,Hide Address,addServer.hideAddress
サーバーリソースパック,Server Resource Packs,addServer.resourcePack
無効,Disabled,addServer.resourcePack.disabled
有効,Enabled,addServer.resourcePack.enabled
毎回確認,Prompt,addServer.resourcePack.prompt
サーバー情報の編集,Edit Server Info,addServer.title
「@e」ですべてのエンティティを対象にします,"Use \""@e\"" to target all entities",advMode.allEntities
「@a」ですべてのプレイヤーを対象にします,"Use \""@a\"" to target all players",advMode.allPlayers
コンソールコマンド,Console Command,advMode.command
モード,Mode,advMode.mode
リピート,Repeat,advMode.mode.auto
常時実行,Always Active,advMode.mode.autoexec.bat
条件付き,Conditional,advMode.mode.conditional
インパルス,Impulse,advMode.mode.redstone
動力が必要,Needs Redstone,advMode.mode.redstoneTriggered
チェーン,Chain,advMode.mode.sequence
無条件,Unconditional,advMode.mode.unconditional
「@p」で最寄りのプレイヤーを対象にします,"Use \""@p\"" to target nearest player",advMode.nearestPlayer
オペレーター権限のあるクリエイティブモードのプレイヤーでなくてはなりません,Must be an opped player in creative mode,advMode.notAllowed
このサーバーではコマンドブロックが有効ではありません,Command blocks are not enabled on this server,advMode.notEnabled
前回の実行結果,Previous Output,advMode.previousOutput
「@r」でランダムなプレイヤーを対象にします,"Use \""@r\"" to target random player",advMode.randomPlayer
「@s」で実行されているエンティティを対象にします,"Use \""@s\"" to target the executing entity",advMode.self
コマンドブロックが実行するコンソールコマンド,Set Console Command for Block,advMode.setCommand
コマンドを設定しました：%s,Command set: %s,advMode.setCommand.success
トラックの出力,Track output,advMode.trackOutput
トリガー,Triggering,advMode.triggering
タイプ,Type,advMode.type
不明な進捗です：%s,Unknown advancement: %s,advancement.advancementNotFound
すべての種類のバイオームを発見する,Discover every biome,advancements.adventure.adventuring_time.description
冒険の時間,Adventuring Time,advancements.adventure.adventuring_time.title
5種類のMobをクロスボウを使って一度に倒す,Kill five unique mobs with one crossbow shot,advancements.adventure.arbalistic.description
クロスボウの達人,Arbalistic,advancements.adventure.arbalistic.title
スカルクセンサーまたはウォーデンの近くでスニークして感知されないようにする,Sneak near a Sculk Sensor or Warden to prevent it from detecting you,advancements.adventure.avoid_vibration.description
スニーク100,Sneak 100,advancements.adventure.avoid_vibration.title
ブリーズの放ったウィンドチャージを打ち返して倒す,Kill a Breeze with a deflected Breeze-shot Wind Charge,advancements.adventure.blowback.description
逆風,Blowback,advancements.adventure.blowback.title
アルマジロにブラシを使い、アルマジロのウロコを手に入れる,Get Armadillo Scutes from an Armadillo using a Brush,advancements.adventure.brush_armadillo.description
